Denominazione,Latitudine,Longitudine,Indirizzo,Comune,Tipologia
"Istituto ""Via Luisa di Savoia""",41.9196739196777,12.4639854431152,"Via Caposile, 1",Roma,Pubblici
"Istituto ""Artusi""",41.8256187438965,12.5619878768921,"Via Pizzo di Calabria, 5",Roma,Pubblici
"Il forno 92 srl",41.8385378639036,12.6013942392868,"Via del Ponte delle Sette Miglia, 51",Roma,Privati
"Istituto ""Artusi""",41.8425712585449,12.5439987182617,"Via Montescaglioso ",Roma,Pubblici
"Wellness Club",41.9376472172023,12.5545862698364,"Via Rousseau, 124",Roma,Privati
"Istituto ""Tacito""",41.9347305297852,12.4136371612549,"Via Sebastiano Vinci , 1",Roma,Pubblici
"Ristopronto srl",41.7834434509277,12.3326044082642,"Via di Dragone, 401b",Roma,Privati
"Istituto Alberghiero ""Domizia Lucilla"" (sede via Vinci 1)",41.9341354370117,12.4136047363281,"Via Sebastiano Vinci,1",Roma,Pubblici
"Istituto ""Ruiz""",41.8254051208496,12.4722185134888,"Viale Africa, 109",Roma,Pubblici
"Istituto ""Einstain""",41.9359436035156,12.5497245788574,"Via Pasquale II, 237",Roma,Pubblici
"Istituto ""D'Este""",41.9936981201172,12.7238845825195,"Piazza Alfredo Barbieri snc","Guidonia Montecelio",Pubblici
"Istituto ""Torricelli""",41.9167327880859,12.4149951934814,"Via Federico Borromeo, 67",Roma,Pubblici
"Istituto ""Via Zambeccari,1""",41.9996910095215,12.7254409790039,"Via Zambeccari, 1","Guidonia Montecelio",Pubblici
"Istituto "" Gassman""",41.9201469421387,12.4099550247192,"Via Torrevecchia, 683",Roma,Pubblici
"Istituto ""Majorana""",41.9844703674316,12.7146787643433,"Via Roma, 298","Guidonia Montecelio",Pubblici
"Istituto ""De Amicis""",41.9122047424316,12.4085903167725,"Via Cardinal di Capranica, 78",Roma,Pubblici
"Istituto ""E. Fermi""",41.9350128173828,12.4387226104736,"Via Trionfale 8737",Roma,Pubblici
"Caserma Carabinieri ""Salvo D' Acquisto"" -",41.9464968420709,12.481035888195,"Viale Tor Di Quinto, 119",Roma,Pubblici
Comune,42.0820045471191,12.4036989212036,"Piazza San Lorenzo, 8",Formello,Pubblici
"Circolo Canottieri Lazio",41.923755645752,12.4660234451294,"Lungotevere Flaminio, 25",Roma,Pubblici
"Kristal Bar",41.9610214233398,12.0832538604736,"Via Saturno 2",Ladispoli,Privati
"Tre Cannelle",41.8965628818886,12.4836937772461,"Via IV Novembre, 119",Roma,Pubblici
"Piazza Palmiro Togliatti",42.1326179504395,12.6560716629028,"Piazza Palmiro Togliatti",Montelibretti,Pubblici
"Istituto ""Pirelli""",41.879222869873,12.5254230499268,"Via Assisi, 44",Roma,Pubblici
"Istituto ""E.Fermi""",41.8195190429688,12.6732978820801,"Via Enrico Fermi, 14","Frascati ",Pubblici
"Municipio di Palombara Sabina",42.0670127868652,12.7656555175781,"Piazza Vittorio Veneto, 12","Palombara Sabina",Pubblici
"Istituto ""Mercuri""",41.7700881958008,12.6585369110107,"Corso Vittorio Colonna, 53",Marino,Pubblici
"Istituto ""Via della Stella"" (ex Garrone) ",41.728588104248,12.6588096618652,"Via della Stella  7","Albano Laziale",Pubblici
"Istituto ""A.Volta""",41.9572219848633,12.8088846206665,"Via Sant'Agnese, 46",Tivoli,Pubblici
"Istituto ""Sant'Agnese,44""",41.9572410583496,12.808819770813,"Via Sant' Agnese, 44",Tivoli,Pubblici
"Istituto ""Ugo Foscolo"" (succursale)",41.7272644042969,12.6556720733643,"Via Rossini, 1","Albano Laziale",Pubblici
"Museo archeologico Roger Lambrechts-Ex Granaio",41.742330038332,12.9120318075485,"Via Alessandro Fleming, 77",Artena,Pubblici
"Istituto ""Cesare Battisti""",41.7002105712891,12.6926326751709,"Via Ferruccio Parri, 14",Velletri,Pubblici
"Istituto ""Michelangelo Bonarroti"" (Succursale)",41.809642791748,12.6874094009399,"Via E. Consalvi, 3","Monte Porzio Catone ",Pubblici
"Istituto ""Vailati"" (succursale)",41.7042465209961,12.6912860870361,"Via Sebastiano Silvestri, 157","Genzano di Roma",Pubblici
"Istituto ""Landi""",41.6722145080566,12.7753057479858,"Via Salvo D'acquisto, 61",Velletri,Pubblici
"Istituto ""Yvonn de Begnac""",41.9559516906738,12.0715560913086,"Via Yvonn de Begnac, 6",Ladispoli,Pubblici
"Comando di Polizia Municipale",41.9871978759766,12.7166805267334,"Viale Roma 145","Guidonia Montecelio",Pubblici
"Istituto ""Galileo Galilei""",42.0411720275879,11.8680639266968,"Via Galileo Galilei","Santa Marinella",Pubblici
"Istituto ""Cannizzaro""",41.8363418579102,12.4670715332031,"Via della Civiltà del Lavoro, 2D",Roma,Pubblici
"Istituto ""Giovanni Giorgi""",41.9007453918457,12.5739498138428,"Viale Palmiro Togliatti, 1161",Roma,Pubblici
"Istituto ""Francesco D'Assisi""",41.8821601867676,12.5611734390259,"Viale della Primavera, 207",Roma,Pubblici
"Istituto ""Lazzaro Spallanzani""",41.9544143676758,12.8061485290527,"Via Rivellese",Tivoli,Pubblici
"Istituto ""Via Tiburto,44""",41.9557647705078,12.7998304367065,"Via Tiburto, 44",Tivoli,Pubblici
"Istituto ""Via delle Scienze""",41.7222213745117,13.0150003433228,"Via delle Scienze e della Tecnica",Colleferro,Pubblici
"Istituto ""Enrico Fermi""",41.9598159790039,12.8022260665894,"Via Acquaregna, 112",Tivoli,Pubblici
"Istituto ""Colle dei Frati Borsellino-Falcone""",41.8387298583984,12.8135347366333,"Via Colle dei Frati",Zagarolo,Pubblici
"Istituto ""Renato Cartesio""",41.858455657959,13.0308256149292,"Via Martino Annunziata, 21","Olevano Romano",Pubblici
Municipio,41.8880195617676,13.1683073043823,"Via IV Novembre, 10",Jenne,Pubblici
"Palazzo Colonna",41.897502646748,12.4839782743438,"Piazza Santi Apostoli, 66",Roma,Pubblici
"Palazzo Valentini",41.8964424133301,12.4837884902954,"Via Quattro Novembre 119",Roma,Pubblici
"Piazza Comune",41.7886827763513,12.667076587677,"Via Giuseppe Garibaldi, 34",Grottaferrata,Pubblici
Comune,41.8459357863019,12.9454991362458,"Piazza San Nicola, 9","Rocca Di Cave",Pubblici
"Biblioteca Comunale",42.1918869018555,12.4724540710449,"Via del Fossetto, 1","Rignano Flaminio",Pubblici
Comune,41.8822016970595,13.0287487506866,"Piazza del Municipio, 9",Bellegra,Pubblici
"Palazzo Valentini ",41.8964238144521,12.483789938623,"Via IV Novembre",Roma,Pubblici
"Circolo sportivo All round",41.8100388,12.4446838,"Viale Don Pasquino Borghi, 96",Roma,Privati
"Istituto ""Cesare Battisti""",41.6877250671387,12.7759571075439,"Via dei Lauri, 1",Velletri,Pubblici
"CNR - Area della Ricerca RM1",42.1031532287598,12.6363897323608,"Strada Provinciale 35d",Montelibretti,Pubblici
"Palazzo Valentini",41.8964540169095,12.4842118546658,"via quattro novembre, 119",Roma,Pubblici
"Ospedale Addolorata",41.8854264371064,12.4985505423278,"Via di Santo Stefano Rotondo, 5",Roma,Pubblici
"Istituto ""Bruno Giordano""",41.9571647644043,12.5454244613647,"Via della Bufalotta, 594",Roma,Pubblici
"Comune ",42.0595893859863,12.9978218078613,"Via Costanza Garibaldi,6",Riofreddo,Pubblici
"Istituto ""Amerigo Vespucci""",41.9079399108887,12.5472249984741,"Via Facchinetti, 43",Roma,Pubblici
"Pavona - Parco Giochi",41.7244758605957,12.6158800125122,"via Roma 1","Albano Laziale",Pubblici
"Locanda Atlantide",41.8945579528809,12.5158348083496,"via dei lucani 22",Roma,Privati
"Piazzale Museo Civico",41.7269859313965,12.6616907119751,"Piazza Sabatini","Albano Laziale",Pubblici
"Istituto ""A.Vespucci""(succursale)",41.9110260009766,12.549991607666,"Via Tiburtina, 689",Roma,Pubblici
"Piazza Garibaldi",42.0345077514648,12.6374816894531,"piazza Garibaldi",Mentana,Pubblici
"Istituto ""Faraday""",41.7414703369141,12.2881174087524,"Via Capo Sperone, 52",Roma,Pubblici
"Istituto ""Faraday""",41.7413864135742,12.2883682250977,"Via Capo Sperone, 52",Roma,Pubblici
"Istituto ""Faraday""",41.7414245605469,12.2881813049316,"Via Capo Sperone, 52",Roma,Pubblici
"Istituto ""Aristofane""",41.9518200575206,12.531153678894,"Via Monte Resegone, 3",Roma,Pubblici
"Istituto ""Confalonieri""",41.881591796875,12.5120458602905,"Via Cerveteri, 53",Roma,Pubblici
"Centro Anziani",41.7846810117443,12.6722309589386,"Viale primo maggio,136",Grottaferrata,Pubblici
"Sede Polizia Locale",41.6870231628418,12.7786245346069,"Corso della Repubblica, 239",Velletri,Pubblici
"Biblioteca Comunale ",41.7265968322754,12.6618566513062,"Viale Risorgimento, 5","Albano Laziale",Pubblici
"Casa Internazionale delle donne - Biblioteca	Via della Lungara, 19",41.8944854736328,12.4660482406616,"Via della Lungara, 19",Roma,Pubblici
"Ospedale S. Giovanni - Piazzale blocco C",41.8846244812012,12.5013103485107,"Via Dell'amba Aradam.",Roma,Pubblici
"Ospedale S. Giovanni - Sala Prelievi",41.8889465332031,12.4980154037476,"Via San Giovanni In Laterano",Roma,Pubblici
"Circolo MAE",41.9338073730469,12.4805002212524,"Lungotevere dell'acqua acetosa 42",Roma,Pubblici
"Circolo MAE",41.9324872,12.4820460999999,"Lungotevere dell'Acqua Acetosa, 42",Roma,Pubblici
"Circolo MAE	",41.9339752197266,12.4804639816284,"Lungotevere dell'acqua acetosa 42",Roma,Pubblici
"Circolo Asd Tennis e Sport Ostia Antica",41.7614440917969,12.3027086257935,"Via Pericle Ducati 1",Roma,Pubblici
"Circolo MAE",41.9339790344238,12.4803533554077,"Lungotevere dell'acqua acetosa 42",Roma,Pubblici
"Circolo ippico Casale S. Nicola",42.0072174072266,12.3618402481079,"Via Del Casale Di San Nicola 232",Roma,Pubblici
"Istituto ""Confalonieri""",41.8792152404785,12.5022611618042,"Via Beata de Mattias, 5",Roma,Pubblici
"Bar caffè dell' orologio",41.7878570556641,12.66832447052,"Corso del popolo, 60",Grottaferrata,Privati
Municipio,42.1499786376953,11.9383459091187,"Piazza Vittorio Veneto, 12",Tolfa,Pubblici
"Istituto Cine TV Rossellini",41.8553886413574,12.4685764312744,"Via della Vasca Navale 58",Roma,Pubblici
"Ass. Punto a capo",41.7694205,12.6607452000001,"Corso Trieste, 45",Marino,Privati
" Biblioteca Comunale ""Giovanni Cena""",41.7958758877302,12.8059794490738,"P.zza Giovanni Cena, 1","Rocca Priora",Pubblici
"Istituto ""Francesco De Pinedo""",41.8291435241699,12.4972553253174,"Via Francesco Morandini, 30",Roma,Pubblici
"Istituto ""Primo Levi""",41.8292999267578,12.4973812103271,"Via Francesco Morandini, 64",Roma,Pubblici
"Istituto ""Giuseppe Garibaldi""",41.8293838500977,12.5180692672729,"Via Ardeatina, 524",Roma,Pubblici
"Istituto ""Marcantonio Colonna""",41.8525161743164,12.4707288742065,"Via Salvatore Pincherle, 201","Roma ",Pubblici
"Istituto ""Ex De Chirico - Via Beata Maria De Mattias""",41.8793411254883,12.502345085144,"Largo Pannonia, 37",Roma,Pubblici
Comune,41.729736328125,13.0048542022705,"Piazza Italia,1 ",Colleferro,Pubblici
"Istituto ""Eugenio Montale""",41.8686027526855,12.4228019714355,"Via di Bravetta, 545",Roma,Pubblici
"Bar il Tucano",42.0908813476562,12.5222654342651,"Via Dante Alighieri 44",Riano,Privati
"Istituto ""Cannizzaro""(succursale)",41.8238372802734,12.4473934173584,"Viale dell'Oceano Indiano",Roma,Pubblici
"Istituto ""Aristotele""",41.8226318359375,12.4825029373169,"Via dei Sommozzatori, 50",Roma,Pubblici
"Istituto ""D'arte Roma1""(succursale)",41.824870832665,12.4947816133499,"Via Andrea Argoli, 50",Roma,Pubblici
"Istituto ""Leon Battista Alberti""",41.8361053466797,12.4666776657104,"Viale Civiltà del Lavoro, 4",Roma,Pubblici
"Istituto ""James Joyce""",41.7237295544789,12.685628565815,"Via Alcide De Gasperi,20",Ariccia,Pubblici
"Piazza San Pietro",41.7287101745605,12.6583805084229,"Piazza San Pietro","Albano Laziale",Pubblici
"Istituto ""Orazio""",41.9412117004395,12.5443248748779,"Via Savinio Alberto, 40",Roma,Pubblici
"Istituto ""Orazio""(succursale)",41.9387664794922,12.5394535064697,"Via Isolabella, 5",Roma,Pubblici
"Scuola Comunale",42.0122644062171,12.8406803572083,"Via I Maggio, 2","San Polo dei Cavalieri",Pubblici
"Hotel All Time",41.8092422485352,12.4466505050659,"Via Domenico Jachino 181",Roma,Privati
"Agriturismo Corte in fiore",41.5575460565598,12.5677543730163,"Via Degli Olivi 16",Ardea,Privati
"Circolo Empire",41.8803100585938,12.4012660980225,"Via Degli Aldobrandeschi 115",Roma,Pubblici
"Centro Sociale Anziani Corcolle",41.9013366699219,12.736120223999,"via frontone, 239","Roma ",Pubblici
"Municipio ",41.9268080621548,13.2309377288361,"Piazza Italia, 1",Vallepietra,Pubblici
"Istituto ""J. Von Neumann""(succursale)",41.921199798584,12.5379686355591,"Via del Tufo, 27",Roma,Pubblici
"Istituto ""James Joyce"" (succursale)",41.7082023620605,12.6641035079956,"Via di Vallericcia, 51",Ariccia,Pubblici
Municipio,41.9445284048789,12.9815389337296,"Piazza Giuseppe Garibaldi, 11","Cerreto Laziale",Pubblici
" 	Ospedale S. Giovanni - CUP",41.889030456543,12.4981069564819,"Via San Giovanni In Laterano",Roma,Pubblici
"Bar La Licata",41.8946189880371,12.490909576416,"Via Dei Serpenti, 165",Roma,Privati
"Cecchina - Villa del Vescovo ",41.6975975036621,12.6508932113647,"Viale Italia, 1","Albano Laziale",Pubblici
" 	Associazione Per fare Insieme onlus",41.9376220703125,12.531439781189,"VIa Pelagosa, 3",Roma,Pubblici
"Punto Informazioni Turistiche",42.0594496687503,13.0008134576722,"Piazza Giuseppe Garibaldi",Percile,Pubblici
"Centro Commerciale Arca di Capena",42.1168098449707,12.5905122756958,"VIa Tiberina 73a",Capena,Privati
"Istituto ""Ugo Foscolo""",41.7322387695312,12.6654624938965,"Via San Francesco d'Assisi, 34","Albano Laziale",Pubblici
"Porta Futuro - sala conferenze",41.8773231506348,12.4744291305542,"via Luigi Galvani 108",Roma,Pubblici
"Istituto ""Angelo Frammartino""",42.0562934875488,12.6179809570312,"Piazza Santa Maria delle Grazie, 10",Monterotondo,Pubblici
"Istituto ""Piazza della Resistenza""(G. Cardano)",42.0517616271973,12.620397567749,"Piazza della Resistenza, 1",Monterotondo,Pubblici
"Istituto ""Via Asmara 28""",41.9274063110352,12.5177087783813,"Via Asmara, 28",Roma,Pubblici
"Istituto ""Piazza della Resistenza""(succursale via Tirso)",42.0528939,12.6209504999999,"Via Fratelli Bandiera, 23",Monterotondo,Pubblici
"Ospedale S. Giovanni - CUP",41.8888473510742,12.4985256195068,"Via San Giovanni In Laterano",Roma,Pubblici
Zoomarine,41.6339492797852,12.4570169448853,"Via Zara",Pomezia,Privati
Zoomarine,41.6332664489746,12.4592599868774,"Via Zara",Pomezia,Privati
"Underground Pub",42.0499954223633,12.6219367980957,"via Reno 5",Monterotondo,Privati
"Piazza San Biagio",42.1035842895508,12.4496545791626,"piazza San Biagio",Sacrofano,Pubblici
"Istituto ""Caravaggio""(succursale)",41.8246383666992,12.4485950469971,"Via dell'Oceano Indiano, 64",Roma,Pubblici
"Istituto ""Gaio Valerio Catullo"" (succursale)",42.0524749755859,12.6212778091431,"Via Fratelli Bandiera, 23",Monterotondo,Pubblici
"Istituto ""Gaio Valerio Catullo"" (Centrale)",42.0575543603547,12.6344854387619,"Via Tirso, 19",Monterotondo,Pubblici
"Istituto ""Luigi Calamatta""(succursale)",42.0953826904297,11.7982511520386,"Via Namaziano, 5",Civitavecchia,Pubblici
"Istituto ""Enzo Ferrari""",41.8576354980469,12.572546005249,"Via Contardo Ferrini, 83",Roma,Pubblici
"Caffè Aphrodite",41.9186134338379,12.4956655502319,"via Gaetano Donizetti 26",Roma,Privati
"Istituto ""Vincenzo Gioberti""",41.8880996704102,12.4757843017578,"Via dei Genovesi, 30c",Roma,Pubblici
"Istituto ""Angelo Frammartino"" (succursale)",42.056640625,12.6162328720093,"Via Adda, 9b",Monterotondo,Pubblici
"Istituto ""Via Asmara 28""(succursale)",41.9145393371582,12.5066728591919,"Via Novara, 20",Roma,Pubblici
"Istituto ""Orazio Olivieri""",41.9640083312988,12.8032932281494,"Viale Giuseppe Mazzini, 89",Tivoli,Pubblici
"Istituto ""Talete""",41.9124603271484,12.4591541290283,"Via Gabriele Camozzi, 4",Roma,Pubblici
"Parco Castelli Romani",41.7633310886836,12.7048898779099,"Via Cesare Battisti, 5","Rocca di Papa",Pubblici
"Palazzo Valentini",41.896614074707,12.4839344024658,"Via Quattro Novembre 119",Roma,Pubblici
"Palazzo Valentini",41.8968452,12.4852837999999,"Via Quattro Novembre",Roma,Pubblici
"Palazzo Valentini",41.8963470458984,12.4839487075806,"Via Quattro Novembre 119",Roma,Pubblici
"Sporting Palace",41.9121589660645,12.5009765625,"via mantova 1",Roma,Privati
"Istituto ""Isacco Newton""",41.8906021118164,12.5072469711304,"Viale Manzoni, 47",Roma,Pubblici
"Istituto ""Galileo Galilei""",41.8930358886719,12.5069570541382,"Via Conte Verde, 51",Roma,Pubblici
"Istituto ""D'Arte""",41.6699485778809,12.4996290206909,"Via Cavour, 5",Pomezia,Pubblici
"Istituto ""Guido Baccelli""",42.0950469970703,11.7980699539185,"Via Leopoli, 16",Civitavecchia,Pubblici
"Istituto ""Via Adige""",42.1022911071777,11.7973375320435,"Via della Polveriera",Civitavecchia,Pubblici
"CIttà metropolitana di Roma Capitale",41.9117270998781,12.5497350777082,"Via Tiburtina, 691",Roma,Pubblici
"Istituto ""Archimede""",41.9492568969727,12.5143156051636,"Via Vaglia, 10",Roma,Pubblici
"Istituto ""Augusto Righi""",41.9106636047363,12.4953508377075,"Via Campania, 63",Roma,Pubblici
"Istituto ""Augusto Righi""(succursale)",41.9086151123047,12.4945096969604,"Via Boncompagni, 22",Roma,Pubblici
"Istituto ""Armando Diaz"" ",41.8176383972168,12.4664039611816,"Via Vitaliano Brancati, 19",Roma,Pubblici
"Istituto ""Tasso""",41.9099688374072,12.4960401306885,"Via Sicilia, 168",Roma,Pubblici
"Istituto ""Francesco Vivona"" (succursale)",41.8178291320801,12.4660816192627,"Via Vitaliano Brancati, 20",Roma,Pubblici
"Istituto ""Parodi Delfino""",41.7574005126953,13.005087852478,"Via Palianese",Colleferro,Pubblici
"Istituto ""G.Caetani""",41.9167900085449,12.4650983810425,"Viale Mazzini, 36",Roma,Pubblici
"Istituto ""Via Salvini""",41.930477142334,12.491358757019,"Via Tommaso Salvini, 24",Roma,Pubblici
"Istituto ""A. Avogadro""",41.9179992675781,12.5032434463501,"Via Brenta, 26",Roma,Pubblici
"Istituto comprensivo ""Maria Capozzi""",41.9058750928245,12.4166910841309,"Via Ennio Bonifazi, 64",Roma,Pubblici
"Istituto ""Toscanelli""",41.7245826721191,12.2955121994019,"Via Rande, 22",Roma,Pubblici
"Istituto ""Carlo Urbani""",41.7385482788086,12.2596292495728,"Via Dell'idroscalo, 88",Roma,Pubblici
"Istituto ""Federigo Enriques"" (succursale)",41.7365455627441,12.2911500930786,"Via Angelo Olivieri, 141",Roma,Pubblici
"Istituto ""Federigo Enriques""",41.7371864318848,12.2905874252319,"Via Paolini, 196",Roma,Pubblici
"Istituto ""Via Asmara,28""(succursale)",41.9163208007812,12.5084056854248,"Piazza di Villa Paganini",Roma,Pubblici
"Istituto ""Avogadro""(succursale)",41.9291076660156,12.520544052124,"Via Cirenaica, 7",Roma,Pubblici
"Istituto ""Matteucci""(succursale)",41.9491996765137,12.5659217834473,"Via Roberto Rossellini, 7",Roma,Pubblici
"Istituto ""Nomentano""(succursale)",41.9497489929199,12.5631980895996,"Via di Casal Boccone, 60",Roma,Pubblici
"Istituto ""Matteucci""",41.9519271850586,12.5364360809326,"Via delle Vigne Nuove, 262",Roma,Pubblici
"Istituto ""Orazio""(succursale)",41.9366149902344,12.5457763671875,"Via Spegazzini, 50",Roma,Pubblici
"Istituto ""Colombo""(succursale)",41.9559288024902,12.5357656478882,"Via delle Vigne Nuove, 413",Roma,Pubblici
"Istituto ""Machiavelli""(succursale)",41.9135665893555,12.5252952575684,"Via Giovanni da Procida, 14",Roma,Pubblici
"Bar Piersanti ",41.7776641845703,12.3550691604614,"Piazza Segantini",Roma,Privati
"Istituto ""Verne""(succursale)",41.8177528381348,12.4364519119263,"Piazzale EzioTarantelli, 18",Roma,Pubblici
"Istituto ""Emilio Sereni""(succursale)",41.8824462890625,12.9818153381348,"Via Guido Baccelli, 35","San Vito Romano",Pubblici
"Istituto ""Confalonieri - Beata Maria De Mattias, 5""(succursale)",41.8538398742676,12.4863653182983,"Via Alessandro Severo, 212",Roma,Pubblici
"Istituto ""Isabella D' Este"" Succursale",41.9607734680176,12.8017349243164,"Viale Mazzini, snc ","Tivoli ",Pubblici
"Istituto ""Enzo Ferrari""",41.8642807006836,12.5369710922241,"Via Grottaferrata, 76",Roma,Pubblici
"Istituto ""Via dei Papareschi""",41.8701934814453,12.4694557189941,"Via dei Papareschi, 30a",Roma,Pubblici
"Istituto ""Via delle Sette Chiese""(succursale)",41.8537483215332,12.4706449508667,"Via Nistri,11",Roma,Pubblici
"Lavanderia Lavapiù",42.070673,12.598737,"Via Salaria,201",Monterotondo,Privati
"Istituto Tecnico Commerciale Piero Calamandrei",41.9785041809082,12.4941387176514,"Via Carlo Emery, 97",Roma,Privati
"Circolo sottufficiali Marina Militare ",41.944584998574,12.4823919047546,"Viale Tor di quinto, 111",Roma,Pubblici
"Biblioteca Comunale",41.4499643689978,12.6302949024467,"Via di Villa Adele",Anzio,Pubblici
"Centro Agroalimentare Roma",41.9410438537598,12.6578226089478,"Via tenuta del cavaliere 1",Roma,Pubblici
"Istituto ""Machiavelli""",41.9042549133301,12.5035438537598,"Piazza Indipendenza, 7",Roma,Pubblici
"Istituto ""Seneca""(succursale)",41.9006500244141,12.4158067703247,"Via Fulvio Maroi",Roma,Pubblici
"Istituto ""Volta Ceccherelli""",41.8728981018066,12.422703742981,"Via di Bravetta, 541",Roma,Pubblici
"Istituto ""Malpighi""",41.8773765563965,12.4318561553955,"Via Silvestri, 301",Roma,Pubblici
"Istituto ""Volta-Ceccherelli""",41.8768768310547,12.4261026382446,"Via di Bravetta, 383",Roma,Pubblici
"Istituto ""Leonardo da Vinci"" Sede Succursale",41.8943862915039,12.1835145950317,"Viale Maria, 561",Fiumicino,Pubblici
"Istituto ""Paolo Baffi"" Sede succursale",41.8535537719727,12.218560218811,"Viale di Porto, 205",Fiumicino,Pubblici
"Istituto ""Giulio Verne""",41.7763137817383,12.3509893417358,"Via di Saponara, 150",Roma,Pubblici
"Istituto ""Immanuel Kant""",41.8762321472168,12.5497417449951,"Piazza Zambeccari, 19",Roma,Pubblici
"Policlinico - CED",41.8872534,12.5153546,"Viale Castrense",Roma,Pubblici
"Polizia Municipale",41.6698160250571,12.5016268968201,"Piazza Indipendenza, 8",Pomezia,Pubblici
"Centro Anziani Cesano",42.0712897,12.3371499,"Via Orrea,25",Roma,Pubblici
"Istituto ""Luigi Einaudi""(succursale)",41.8996086120605,12.4153480529785,"Via Giorgio Del Vecchio, 242",Roma,Pubblici
"Istituto ""Seneca""(succursale)",41.9045181274414,12.4342527389526,"Via Ettore Stampini, 38",Roma,Pubblici
"Istituto ""Via dell'Immacolata 47""",42.1035652160645,11.7932081222534,"Via Immacolata, 47",Civitavecchia,Pubblici
"Istituto ""Cattaneo""",41.8796691894531,12.4716520309448,"Lungo Tevere Testaccio, 32","Roma ",Pubblici
"Uffici Comunali",41.667854309082,12.4982643127441,"Piazza San Benedetto Da Norcia",Pomezia,Pubblici
"Istituto "" Sandro Pertini""",41.9561386108398,12.0739755630493,"Via Caltagirone, 1",Ladispoli,Pubblici
"Istituto ""Gioberti""(succursale)",41.8894271850586,12.4684543609619,"Via Della Paglia, 50",Roma,Pubblici
"Caserma Salvo d' Acquisto - Piazzetta centrale",41.9465298937516,12.4814786911011,"Viale Tor di Quinto, 119",Roma,Pubblici
"Accademia Nazionale di Danza",41.883861541748,12.4831895828247,"Largo Arrigo VII, 5",Roma,Pubblici
"Istituto ""Via di Capo Sperone 150"" (Succursale Istituto Verne)",41.7864646911621,12.3533315658569,"Via Andrea da Garessio, 109",Roma,Pubblici
"Istituto ""Jean Piaget""(succursale)",41.8673286437988,12.5482950210571,"Via Diana,  35",Roma,Pubblici
"Istituto ""Plauto""",41.7803115844727,12.4438915252686,"Via Augusto Renzini, 70",Roma,Pubblici
"Istituto ""G. De Sanctis"" (Succursale)",41.9404220581055,12.4653749465942,"Via Giacomo Malvano, 20",Roma,Pubblici
"istituto ""Argoli""(succursale Istituto Alberghiero Tor Carbone)",41.8250999450684,12.4953289031982,"Via Argoli, 50",Roma,Pubblici
"Punto informazioni turistiche ",41.9988784790039,12.100757598877,"Piazza Aldo Moro, 2",Cerveteri,Pubblici
Municipio,42.0801086425781,12.4007549285889,"Piazza San Lorenzo, 21",Formello,Pubblici
"Accademia Filarmonica Romana - Sala Casella",41.9169120788574,12.4742574691772,"via flaminia 118",Roma,Pubblici
"Dojo Zen",41.7351150512695,12.6471014022827,"Via delle mole 32","Albano Laziale",Privati
"Istituto ""Via dei Papareschi"" (succursale)",41.8373870849609,12.4218664169312,"Via delle Vigne, 205",Roma,Pubblici
"Coppedè Cafè",41.9199714660645,12.5029411315918,"Via Tagliamento 28",Roma,Privati
"Ponton dell'Elce",42.0225677490234,12.2348175048828,"Largo dei Larici","Anguillara Sabazia",Pubblici
Zoomarine,41.634334564209,12.4557180404663,"Via Zara",Pomezia,Privati
"Istituto ""Urbani""",41.7708625793457,12.3361196517944,"Via di Saponara, 760",Roma,Pubblici
"Istituto ""Keplero""(succursale)",41.8372535705566,12.4219732284546,"Via delle Vigne, 156",Roma,Pubblici
"Centro Anziani Martin Pescatore",41.6640357971191,12.4878635406494,"via signa, 9",Pomezia,Pubblici
"Istituto ""Anco Marzio""(succursale)",41.741153717041,12.2881107330322,"Via Capo Sperone, 50",Roma,Pubblici
"Istituto ""Colonna Gatti"" (sede succursale)",41.4565315246582,12.6502561569214,"Via Orsenigo, 1",Nettuno,Pubblici
"Istituto ""Toscanelli""(succursale)",41.7413139343262,12.2880077362061,"Via Capo Sperone, 52",Roma,Pubblici
"Istituto ""De Sanctis"" (succursale)",41.9413414001465,12.4739036560059,"Via Antonio Serra, 91",Roma,Pubblici
"Istituto ""Farnesina"" (succursale)",41.9356155395508,12.4634037017822,"Via dei Robilant, 7",Roma,Pubblici
"Istituto ""Stanislao Cannizzaro""",41.7243957519531,13.014988899231,"Via Consolare Latina, 263",Colleferro,Pubblici
"Istituto ""Isabella D'Este""(succursale)",41.9606895446777,12.8016510009766,"Via Colsereno, 107",Tivoli,Pubblici
"Biblioteca Comunale",41.8093715379847,12.7382922518677,"Via Annibaldeschi",MonteCompatri,Pubblici
"Birrifugio - Ostia Lido",41.7310028076172,12.2927494049072,"Via F. Acton, 18",Roma,Privati
"Biblioteca Multimediale Chris Cappell",41.4618644714355,12.6259984970093,"Via Antium,7",Anzio,Pubblici
"Piazza Lavinia",41.4990043640137,12.5861101150513,"Piazza Lavinia 19",Anzio,Pubblici
"Bar Centrale",42.1005210876465,12.5040788650513,"via rianese, 142",Riano,Privati
"Istituto Enzo Rossi - Scuola D'arte Roma 2",41.9142608642578,12.5607585906982,"Via del frantoio 2",Roma,Pubblici
"Palazzetto dello Sport",41.4605819,12.6476110999999,"Via Santa Barbara",Nettuno,
"Scuola del Sociale",41.9574775695801,12.4554347991943,"Via Cassia, 472",Roma,Pubblici
"Centro Formazione ",41.9575042724609,12.4554929733276,"Via Cassia, 472",Roma,Pubblici
