Denominazione,Latitudine,Longitudine,Indirizzo,Comune,Tipologia
"Municipio - Sala del Consiglio",42.210147857666,12.4811115264893,"Piazza caduti di tutte le guerre","Rignano Flaminio",Pubblici
"Poliambulatorio - Ospedale Spallanzani",41.8645935058594,12.457576751709,"Via Portuense 292",Roma,Pubblici
"Ospedale Spallanzani",41.864673614502,12.4576854705811,"Via Portuense 292",Roma,Pubblici
"Biblioteca Comunale",42.1166839599609,12.7735576629639,"Piazza sante Aureli 1",Moricone,Pubblici
"Teatro Olimpico ",41.926441192627,12.4615507125854,"piazza Gentile da Fabriano",Roma,Privati
"Complesso Ospedaliero San Giovanni-Addolorata",41.8845638295776,12.5011887550354,"via dell'Amba Aradam",Roma,Pubblici
"Ospedale Spallanzani",41.8656482958879,12.4580091217041,"Via Portuense, 292",Roma,Pubblici
"Farmacia Comunale",42.0910949707031,12.7745733261108,Stazzano,"Palombara Sabina",Pubblici
"F.I.G.C Associazione Italiana Arbitri",41.8956718444824,12.4465246200562,"via Gregorio VII 124",Roma,Pubblici
"Centro anziani Pullino",41.8665008544922,12.4843997955322,"via pullino 97",Roma,Pubblici
"Lavanderia Ondablu",41.9095993041992,12.5199003219604,"via giuseppe de mattheis 3",Roma,Pubblici
"Centro anziani",41.671199798584,12.499400138855,"Via Ovidio,85",Pomezia,Pubblici
Municipio,42.1375617980957,12.8061847686768,"via 4 Novembre","Montorio Romano",Pubblici
"a.s.d Funsport",41.9063987731934,12.413200378418,"via giuseppe de luca 30",Roma,Pubblici
"Comune di Montelanico - Stazione dei Pompieri",41.6491000351175,13.0388689722831,"Viale Roma",Montelanico,Pubblici
"Gelateria Splash",41.8721466064453,12.5277013778687,"via eurialo 102",Roma,Privati
"IFO Istituti Fisioterapici Ospitalieri",41.8027610778809,12.4480209350586,"via Elio Chianesi",Roma,Pubblici
"Emmeci Sport",41.8344497680664,12.5757637023926,"via Pellaro 1",Roma,Pubblici
"Città dell'utopia",41.8541603088379,12.4801692962646,"via valeriano 7",Roma,Pubblici
"Policlinico Umberto I - Direzione",41.9066925048828,12.5099077224731,"Viale del policlinico, 155",Roma,Pubblici
Mattatoio,42.0914916992188,12.5252285003662,"via del campo sportivo",Riano,Pubblici
"Luna Mediterranea ",41.9092254638672,12.4943447113037,"Via Romagna 28",Roma,Privati
"BAR SINCITY - Stazione FS",41.8255882263184,12.8279609680176,"Piazzale della Stazione",Zagarolo,Privati
"Gym Center Sporting Club	",41.8952980041504,12.4382057189941,"Via Anastasio II, 342",Roma,Privati
"VIGAMUS - Museo del Videogames",41.9170722961426,12.4593296051025,"Via Sabotino, 4",Roma,Pubblici
"Circolo sottufficiali Marina Militare ",41.9449919236706,12.4829283465576,"Viale Tor di quinto, 111",Roma,Pubblici
"Istituto ""D'arte Roma 2""",41.9136344488872,12.5610215482711,"Via del Frantoio, 4",Roma,Pubblici
"Sporting club Marconi",41.8667068481445,12.4735193252563,"via Pietro Blaserna 105",Roma,Pubblici
Municipio,42.050365447998,12.963695526123,"Via Carlo Todini, 8","Cineto Romano",Pubblici
"Ristorante La Casina Bianca",42.1589202880859,12.2283973693848,"Via della Rena, 78","Trevignano Romano",Privati
Municipio,41.8873100280762,12.8933620452881,"piazza conti, 4",Poli,Pubblici
"Licenza Municipio",42.0742988586426,12.9016580581665,"Via Don Minzoni, 12",Licenza,Pubblici
"Ristorante da Gabriele",41.9220886230469,12.3744010925293,"Via Boccea, 591",Roma,Privati
Municipio,42.1061325073242,12.4474954605103,"Largo B. Placidi, 1",Sacrofano,Pubblici
"Accademia Filarmonica Romana - Sede",41.9204788208008,12.4723052978516,"Via Flaminia, 118",Roma,Pubblici
"Teatro Ambra Jovinelli",41.8957939147949,12.5079116821289,"via giolitti 287",Roma,Privati
"Istituto Comprensivo",41.882698059082,13.0271072387695,"Via S.Tommaso",Bellegra,Pubblici
"Istituto"" Innocenzo XII""",41.4684600830078,12.6088485717773,"Via Ardeatina, 87",Anzio,Pubblici
"Centro per l'impiego",41.9901669371906,12.0898845177029,"Piazzale Roselle, 9",Cerveteri,Pubblici
Municipio,41.7768548446252,12.9174925684929,"Via Nazionale, 5",Valmontone,Pubblici
Comune,41.8801307678223,13.1141681671143,"Via San Giorgio, 1","Arcinazzo Romano",Pubblici
"IFO - Istituti Fisioterapici Ospitalieri",41.8020820617676,12.4488115310669,"Via Elio Chianesi, 53",Roma,Pubblici
"Istituto ""Democrito""",41.7520713806152,12.3568258285522,"Via Prassilla, 79",Roma,Pubblici
Comune,42.0190277099609,13.1080198287964,"Piazza Roma, 6","Camerata Nuova",Pubblici
"Istituto ""Vailati""",41.7031059265137,12.6788539886475,"Via Achille Grandi, 146","Genzano di Roma",Pubblici
"Istituto ""Vittoria Colonna""",41.8942337036133,12.4732828140259,"Via Arco Del Monte, 99",Roma,Pubblici
"Parco Leonardo",41.7966995239258,12.2957000732422,"Via Bramante, 31",Fiumicino,Privati
"Parco Leonardo",41.7972984313965,12.2954998016357,"Via Bramante, 31",Fiumicino,Privati
"Istituto ""Emilio Sereni""",41.9843597412109,12.5459127426147,"Via della Colonia Agricola, 41",Roma,Pubblici
"Biblioteca Comunale",42.0511016845703,12.614688873291,"Piazza Don Minzoni",Monterotondo,Pubblici
"Data Radio snc",41.9235534667969,12.3744945526123,"via di Selva Candida, 49",Roma,Privati
"Istituto ""Bertrand Russell""",41.8791618347168,12.5219211578369,"Via Tuscolana, 208",Roma,Pubblici
"Istituto ""Cornelio Tacito""",41.9103584289551,12.4529418945312,"Via Giordano Bruno, 4",Roma,Pubblici
"Istituto ""Teresa Gullace Talotta""",41.8600234985352,12.5732002258301,"Piazza Cavalieri del Lavoro, 18",Roma,Pubblici
Municipio,41.8463439941406,12.8946895599365,"Via Vittorio Veneto","Castel San Pietro Romano",Pubblici
"Istituto ""Tullio Levi Civita""",41.8907928466797,12.5488576889038,"Via Torre Annunziata, 13",Roma,Pubblici
"Centro di solidarietà Onlus ""Il Ponte""",42.0988616943359,11.7944955825806,"Via Amba Aradam, 25",Civitavecchia,Pubblici
